name,age,position,team
Vicente Conde,32,2B,New York Yankees
Brandon Thomasson,33,RF,Kansas City Royals
Austin Byler,33,1B,Washington Nationals
Doug Votolato,34,RF,Texas Rangers
Adam Martin,34,C,Seattle Mariners
Troy Stein,33,C,Colorado Rockies
Caleb Adams,33,RF,Los Angeles Angels
Ty McFarland,34,2B,New York Yankees
Seth Spivey,33,2B,Texas Rangers
Steven Patterson,33,2B,Cleveland Guardians
Colin Hering,35,RF,Los Angeles Dodgers
Cole Sturgeon,34,OF,Boston Red Sox
Danny Diekroeger,33,3B,St. Louis Cardinals
Dansby Swanson,32,SS,Arizona Diamondbacks
Alex Bregman,31,3B,Houston Astros
Andrew Benintendi,31,LF,Boston Red Sox
Ian Happ,31,LF,Chicago Cubs
Kevin Newman,32,3B,Pittsburgh Pirates
Richie Martin,31,SS,Athletics
DJ Stewart,32,RF,Baltimore Orioles
Taylor Ward,32,LF,Los Angeles Angels
Kyle Holder,31,SS,New York Yankees
Chris Shaw,32,LF,San Francisco Giants
Christin Stewart,32,LF,Detroit Tigers
Donnie Dewees,32,CF,Chicago Cubs
Scott Kingery,31,2B,Philadelphia Phillies
Andrew Stevenson,31,CF,Washington Nationals
Kevin Kramer,32,3B,Pittsburgh Pirates
Mikey White,32,3B,Athletics
Austin Rei,32,C,Boston Red Sox
Blake Trahan,32,SS,Cincinnati Reds
Brandon Lowe,31,2B,Tampa Bay Rays
Braden Bishop,32,CF,Seattle Mariners
Casey Hughston,31,CF,Pittsburgh Pirates
Anderson Miller,31,OF,Kansas City Royals
Harrison Bader,31,LF,St. Louis Cardinals
Rhett Wiseman,31,RF,Washington Nationals
Anthony Hermelyn,32,C,Houston Astros
Tate Matheny,32,CF,Boston Red Sox
Kyle Martin,33,1B,Philadelphia Phillies
Carl Wise,31,3B,Toronto Blue Jays
Jeff Hendrix,32,CF,New York Yankees
Tyler Krieger,32,2B,Cleveland Guardians
Skye Bolt,32,CF,Athletics
Kade Scivicque,32,C,Detroit Tigers
Paul DeJong,32,3B,St. Louis Cardinals
Brendon Sanger,32,OF,Los Angeles Angels
Joe McCarthy,31,LF,Tampa Bay Rays
Blake Allemand,33,2B,Milwaukee Brewers
Ka'ai Tom,31,OF,Cleveland Guardians
Drew Jackson,32,2B,Seattle Mariners
Ronnie Jebavy,31,CF,San Francisco Giants
Roman Collins,31,LF,Kansas City Royals
Cam Gibson,32,LF,Detroit Tigers
Jared Foster,33,CF,Los Angeles Angels
Steven Duggar,32,CF,San Francisco Giants
Cody Jones,32,CF,Kansas City Royals
Edwin Rios,31,1B,Los Angeles Dodgers
David Fletcher,31,2B,Los Angeles Angels
Dylan Moore,33,2B,Texas Rangers
Jake Cronenworth,32,2B,Tampa Bay Rays
Nathan Lukes,31,RF,Cleveland Guardians
Jose Vizcaino Jr.,31,3B,San Francisco Giants
Mitchell Tolman,31,2B,Pittsburgh Pirates
Jesse Jenner,32,C,St. Louis Cardinals
Hutton Moyer,32,2B,Los Angeles Angels
Kal Simmons,32,3B,Arizona Diamondbacks
Casey Schroeder,32,C,Chicago White Sox
Patrick Mazeika,32,C,New York Mets
Nick Collins,31,C,Athletics
Kyle Survance Jr.,32,RF,Los Angeles Angels
LaMonte Wade Jr.,32,1B,Minnesota Twins
Tucker Tubbs,33,1B,Boston Red Sox
Mark Laird,32,CF,Philadelphia Phillies
Daniel De La Calle,33,C,Tampa Bay Rays
Kevin Kaczmarski,34,RF,New York Mets
Connor Panas,33,LF,Toronto Blue Jays
Ryan Krill,32,1B,New York Yankees
Conner Hale,33,3B,Seattle Mariners
David Kerian,33,1B,Washington Nationals
Tanner Lubach,33,C,Los Angeles Angels
Joey Armstrong,32,RF,Arizona Diamondbacks
Leon Byrd,31,2B,Texas Rangers
Sean Miller,31,SS,Minnesota Twins
Mitchell Gunsolus,33,3B,Boston Red Sox
Jackson Glines,33,CF,Chicago White Sox
Vimael Machín,32,SS,Chicago Cubs
Josh Tobias,33,3B,Philadelphia Phillies
Justin Pacchioli,33,OF,San Diego Padres
Steven Pallares,32,CF,Athletics
Cole Bauml,33,RF,Detroit Tigers
Logan Landon,33,CF,Los Angeles Dodgers
Nick Senzel,30,3B,Cincinnati Reds
Corey Ray,31,CF,Milwaukee Brewers
Kyle Lewis,30,OF,Seattle Mariners
Matt Thaiss,30,C,Los Angeles Angels
Will Craig,31,3B,Pittsburgh Pirates
Will Smith,30,C,Los Angeles Dodgers
Chris Okey,31,C,Cincinnati Reds
Michael Reed,30,OF,San Diego Padres
C.J. Chatham,31,SS,Boston Red Sox
Ryan Boldt,31,RF,Tampa Bay Rays
J.B. Woodman,31,CF,Toronto Blue Jays
Sheldon Neuse,31,3B,Washington Nationals
Bryan Reynolds,31,RF,San Francisco Giants
Ronnie Dawson,30,DH,Houston Astros
Nick Solak,31,1B,New York Yankees
Pete Alonso,31,1B,New York Mets
Garrett Hampson,31,2B,Colorado Rockies
Sean Murphy,31,C,Athletics
Alex Call,31,RF,Chicago White Sox
Bryson Brigman,30,SS,Seattle Mariners
Austin Hays,30,LF,Baltimore Orioles
Heath Quinn,30,OF,San Francisco Giants
Jake Rogers,30,C,Houston Astros
Blake Tiberi,31,IF,New York Mets
Stephen Alemais,30,SS,Pittsburgh Pirates
Jameson Fisher,32,1B,Chicago White Sox
Bobby Dalbec,30,1B,Boston Red Sox
Nick Banks,31,OF,Washington Nationals
Charles Leblanc,29,3B,Texas Rangers
Michael Paez,31,2B,New York Mets
Joshua Palacios,30,RF,Toronto Blue Jays
Jeremy Martinez,31,C,St. Louis Cardinals
Brian Serven,30,C,Colorado Rockies
JaVon Shelby,30,3B,Athletics
Donovan Walton,31,2B,Seattle Mariners
Daniel Johnson,30,CF,Washington Nationals
Ryan Howard,31,SS,San Francisco Giants
Connor Justus,31,SS,Los Angeles Angels
Dom Thompson-Williams,30,OF,New York Yankees
Colby Woodmansee,31,SS,New York Mets
Cavan Biggio,30,1B,Toronto Blue Jays
Nicky Lopez,30,3B,Kansas City Royals
David Martinelli,31,CF,Philadelphia Phillies
