Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Ernie Clement,2015,19,-1.5,Virginia,ACC,NCAA,,62,260,229,25,56,6,3,1,22,3,8,9,12,0.245,0.303,0.31,0.613,71,,11,9,2,0
Ernie Clement,2016,20,-0.5,Virginia,ACC,NCAA,,59,291,258,62,91,13,4,1,30,6,4,12,12,0.353,0.383,0.446,0.828,115,,3,14,4,0
Ernie Clement,2017,21,0.4,Virginia,ACC,NCAA,,58,285,254,56,80,5,1,2,34,14,2,13,7,0.315,0.345,0.366,0.711,93,,3,7,8,0
Cole Freeman,2016,21,0.4,Louisiana State,SEC,NCAA,,66,264,216,46,71,7,3,1,27,26,9,32,23,0.329,0.427,0.403,0.83,87,,6,9,1,0
Cole Freeman,2017,22,1.3,Louisiana State,SEC,NCAA,,72,338,270,54,85,14,2,2,41,19,7,28,24,0.315,0.416,0.404,0.82,109,,21,16,3,1
David Bañuelos,2015,18,-2.8,Long Beach State,BigW,NCAA,,18,38,34,1,4,1,0,0,5,0,1,3,11,0.118,0.189,0.147,0.336,5,,0,1,0,0
David Bañuelos,2016,19,-1.6,Long Beach State,BigW,NCAA,,44,144,117,15,35,5,1,3,26,2,1,18,30,0.299,0.404,0.436,0.84,51,,4,3,2,1
David Bañuelos,2017,20,-0.8,Long Beach State,BigW,NCAA,,59,234,201,31,58,9,3,7,29,5,2,17,45,0.289,0.368,0.468,0.836,94,,10,3,3,2
Matt Winaker,2015,19,-1.5,Stanford,P12,NCAA,,52,216,179,23,48,10,2,2,26,1,1,31,30,0.268,0.383,0.38,0.763,68,,3,2,1,1
Matt Winaker,2016,20,-0.6,Stanford,P12,NCAA,,54,220,189,29,48,9,4,1,23,0,0,28,20,0.254,0.356,0.36,0.716,68,,2,1,0,1
Matt Winaker,2017,21,0.7,Stanford,P12,NCAA,,58,267,208,53,64,14,1,9,45,3,3,42,36,0.308,0.432,0.514,0.946,107,,8,3,6,0
Austen Wade,2015,19,-1.9,Texas Christian,B12,NCAA,,11,20,11,6,2,0,0,0,0,0,0,9,3,0.182,0.55,0.182,0.732,2,,0,0,0,0
Austen Wade,2016,20,-0.7,Texas Christian,B12,NCAA,,64,280,217,50,62,11,1,1,27,13,3,57,41,0.286,0.434,0.359,0.793,78,,2,1,3,1
Austen Wade,2017,21,0.3,Texas Christian,B12,NCAA,,63,299,247,54,82,17,3,5,40,16,7,49,55,0.332,0.441,0.486,0.927,120,,1,0,2,1
Zach Rutherford,2015,19,-1.9,Old Dominion,CUSA,NCAA,,45,183,164,30,52,13,1,0,18,4,0,10,26,0.317,0.367,0.409,0.776,67,,3,6,0,0
Zach Rutherford,2016,20,-0.9,Old Dominion,CUSA,NCAA,,56,259,225,38,70,10,3,2,29,12,2,18,35,0.311,0.372,0.409,0.781,92,,5,9,2,1
Zach Rutherford,2017,21,0,Old Dominion,CUSA,NCAA,,58,275,235,47,78,25,1,2,56,7,3,21,39,0.332,0.397,0.472,0.869,111,,7,8,4,1
Jordan Rodgers,2014,19,-1.5,Tennessee,SEC,NCAA,,11,30,23,4,3,0,0,0,2,3,0,5,5,0.13,0.333,0.13,0.464,3,,2,0,0,0
Jordan Rodgers,2015,20,-0.5,Tennessee,SEC,NCAA,,38,114,97,9,27,6,0,0,12,0,1,8,21,0.278,0.351,0.34,0.692,33,,4,3,2,0
Jordan Rodgers,2016,21,0.4,Tennessee,SEC,NCAA,,56,243,216,36,61,15,5,4,56,13,1,15,41,0.282,0.337,0.454,0.791,98,,6,0,6,0
Jordan Rodgers,2016,21,0.4,Tennessee,SEC,NCAA,,56,243,216,36,61,15,5,4,56,13,1,15,41,0.282,0.337,0.454,0.791,98,,6,0,6,0
Dalton Guthrie,2015,19,-1.5,Florida,SEC,NCAA,,69,318,282,55,81,14,1,2,26,6,6,29,45,0.287,0.362,0.365,0.727,103,,5,0,2,0
Dalton Guthrie,2016,20,-0.6,Florida,SEC,NCAA,,67,320,279,47,85,14,0,1,22,8,5,25,26,0.305,0.367,0.366,0.733,102,,6,4,6,0
Dalton Guthrie,2017,21,0.3,Florida,SEC,NCAA,,65,293,253,39,69,9,0,4,23,11,7,27,41,0.273,0.349,0.356,0.705,90,,6,1,6,0
Devin Hairston,2015,19,-1.5,Louisville,ACC,NCAA,,60,222,189,26,40,9,0,1,32,2,1,19,39,0.212,0.274,0.275,0.55,52,,0,7,7,0
Devin Hairston,2016,20,-0.5,Louisville,ACC,NCAA,,64,282,249,56,90,16,2,3,45,3,1,21,32,0.361,0.415,0.478,0.893,119,,4,5,3,0
Devin Hairston,2017,21,0.4,Louisville,ACC,NCAA,,65,293,259,50,80,16,2,3,52,3,2,18,34,0.309,0.356,0.421,0.777,109,,5,4,7,1
Jonah Todd,2017,21,0.3,Auburn,SEC,NCAA,,63,289,242,56,91,13,5,0,37,9,5,37,28,0.376,0.46,0.471,0.931,114,,4,2,4,5
Chad Spanberger,2015,19,-1.5,Arkansas,SEC,NCAA,,42,123,107,8,27,5,2,0,21,1,0,12,31,0.252,0.336,0.336,0.673,36,,2,1,1,0
Chad Spanberger,2016,20,-0.6,Arkansas,SEC,NCAA,,33,118,102,11,23,4,0,6,17,0,1,13,40,0.225,0.325,0.441,0.766,45,,2,1,0,1
Chad Spanberger,2017,21,0.3,Arkansas,SEC,NCAA,,60,276,239,54,73,13,1,20,67,2,0,26,65,0.305,0.389,0.619,1.008,148,,8,1,2,6
Dane Myers,2015,19,-1.9,Rice,CUSA,NCAA,,21,23,17,3,3,0,0,0,2,0,0,3,5,0.176,0.364,0.176,0.54,3,,2,1,0,0
Dane Myers,2016,20,-0.9,Rice,CUSA,NCAA,,56,215,182,31,48,4,4,2,21,7,3,25,38,0.264,0.358,0.363,0.721,66,,4,0,4,2
Dane Myers,2017,21,0,Rice,CUSA,NCAA,,62,280,246,51,88,12,5,8,43,13,3,24,54,0.358,0.425,0.545,0.97,134,,5,5,0,0
Bryce Johnson,2015,19,-2.1,Sam Houston State,SLC,NCAA,,53,212,187,33,58,5,1,1,24,16,5,19,28,0.31,0.392,0.364,0.755,68,,6,0,0,1
Bryce Johnson,2016,20,-1,Sam Houston State,SLC,NCAA,,64,295,261,51,90,11,1,2,30,20,7,16,33,0.345,0.401,0.418,0.818,109,,9,8,1,3
Bryce Johnson,2017,21,0.2,Sam Houston State,SLC,NCAA,,67,322,263,63,92,12,5,0,43,33,7,34,41,0.35,0.453,0.433,0.886,114,,17,6,2,0
Mason McCoy,2016,21,0.3,Iowa,BTen,NCAA,,56,254,223,37,65,12,2,2,34,7,4,24,48,0.291,0.367,0.39,0.757,87,,3,3,1,0
Mason McCoy,2017,22,1.3,Iowa,BTen,NCAA,,61,288,253,55,83,18,2,5,34,7,6,27,25,0.328,0.394,0.474,0.868,120,,3,1,4,0
Brock Lundquist,2015,19,-1.8,Long Beach State,BigW,NCAA,,43,144,128,23,37,14,0,3,20,6,1,11,29,0.289,0.361,0.469,0.83,60,,4,0,1,0
Brock Lundquist,2016,20,-0.6,Long Beach State,BigW,NCAA,,58,243,213,31,67,18,4,3,36,4,5,19,30,0.315,0.372,0.479,0.851,102,,4,1,6,0
Brock Lundquist,2017,21,0.2,Long Beach State,BigW,NCAA,,63,281,231,31,64,13,5,4,26,10,3,32,58,0.277,0.388,0.429,0.817,99,,12,3,3,3
Mike Rivera,2015,19,-1.5,Florida,SEC,NCAA,,66,257,225,31,61,11,1,3,48,2,0,16,24,0.271,0.337,0.369,0.706,83,,9,2,5,0
Mike Rivera,2016,20,-0.6,Florida,SEC,NCAA,,67,273,229,33,56,9,2,9,47,0,2,28,26,0.245,0.347,0.419,0.766,96,,9,5,2,1
Mike Rivera,2017,21,0.3,Florida,SEC,NCAA,,47,182,151,23,36,7,1,3,28,1,0,20,19,0.238,0.346,0.358,0.704,54,,6,3,2,1
Mark Kolozsvary,2015,19,-1.5,Florida,SEC,NCAA,,18,19,18,4,5,1,0,0,1,0,0,1,7,0.278,0.316,0.333,0.649,6,,0,0,0,0
Mark Kolozsvary,2016,20,-0.6,Florida,SEC,NCAA,,14,19,17,3,4,0,0,2,5,1,1,0,5,0.235,0.316,0.588,0.904,10,,2,0,0,0
Mark Kolozsvary,2017,21,0.3,Florida,SEC,NCAA,,46,142,116,20,32,8,1,3,26,2,0,18,30,0.276,0.381,0.44,0.821,51,,3,3,2,0
Evan Skoug,2015,19,-1.9,Texas Christian,B12,NCAA,,66,293,256,44,73,15,0,7,46,5,3,28,50,0.285,0.365,0.426,0.791,109,,6,0,3,2
Evan Skoug,2016,20,-0.7,Texas Christian,B12,NCAA,,65,290,249,54,75,21,1,9,51,7,0,34,47,0.301,0.39,0.502,0.892,125,,4,0,3,3
Evan Skoug,2017,21,0.3,Texas Christian,B12,NCAA,,68,312,261,59,71,11,0,20,70,3,0,40,98,0.272,0.378,0.544,0.922,142,,7,0,4,5
Jared Oliva,2015,19,-1.5,Arizona,P12,NCAA,,43,154,136,22,37,9,2,1,20,4,2,12,33,0.272,0.34,0.39,0.73,53,,3,1,2,0
Jared Oliva,2016,20,-0.6,Arizona,P12,NCAA,,71,249,217,27,52,4,7,4,36,13,5,14,45,0.24,0.293,0.378,0.671,82,,4,10,4,0
Jared Oliva,2017,21,0.7,Arizona,P12,NCAA,,59,279,243,56,78,25,3,4,54,10,3,26,42,0.321,0.385,0.498,0.883,121,,2,4,4,0
Chase Pinder,2015,19,-1.5,Clemson,ACC,NCAA,,46,191,160,18,41,8,1,3,26,2,1,21,22,0.256,0.36,0.375,0.735,60,,6,2,2,0
Chase Pinder,2016,20,-0.5,Clemson,ACC,NCAA,,64,312,255,67,75,8,2,11,46,7,3,43,40,0.294,0.412,0.471,0.882,120,,10,1,3,1
Chase Pinder,2017,21,0.4,Clemson,ACC,NCAA,,61,288,233,59,71,16,0,7,32,13,3,37,41,0.305,0.419,0.464,0.883,108,,11,4,3,0
Ben Breazeale,2014,19,-1.5,Wake Forest,ACC,NCAA,,51,175,138,17,30,7,0,0,11,0,0,34,31,0.217,0.374,0.268,0.642,37,,1,1,1,0
Ben Breazeale,2015,20,-0.5,Wake Forest,ACC,NCAA,,27,112,95,10,26,6,0,2,12,1,0,14,25,0.274,0.378,0.4,0.778,38,,2,1,0,0
Ben Breazeale,2016,21,0.5,Wake Forest,ACC,NCAA,,55,229,179,23,44,7,0,3,32,1,0,41,39,0.246,0.388,0.335,0.723,60,,3,2,4,0
Ben Breazeale,2017,22,1.4,Wake Forest,ACC,NCAA,,60,272,237,50,79,16,0,11,51,0,0,27,39,0.333,0.399,0.54,0.939,128,,2,1,5,2
Tim Susnara,2015,19,-1.5,Oregon,P12,NCAA,,43,139,121,14,27,4,0,0,16,0,1,10,27,0.223,0.29,0.256,0.546,31,,3,1,4,0
Tim Susnara,2016,20,-0.6,Oregon,P12,NCAA,,55,221,183,21,49,14,0,2,24,5,0,30,38,0.268,0.385,0.377,0.762,69,,5,3,0,1
Tim Susnara,2017,21,0.7,Oregon,P12,NCAA,,50,190,160,24,39,7,0,5,17,2,0,19,39,0.244,0.342,0.381,0.723,61,,6,3,2,1
Bret Boswell,2015,20,-0.9,Texas,B12,NCAA,,52,217,178,24,45,9,1,2,20,0,0,32,59,0.253,0.376,0.348,0.724,62,,3,4,0,0
Bret Boswell,2016,21,0.3,Texas,B12,NCAA,,44,165,141,19,34,10,3,2,20,1,2,12,38,0.241,0.303,0.397,0.7,56,,1,10,1,0
Bret Boswell,2017,22,1.3,Texas,B12,NCAA,,61,241,198,34,54,13,0,7,33,5,2,34,39,0.273,0.384,0.444,0.828,88,,3,4,2,1
Jared Barnes,2015,19,-1.8,South Alabama,SBC,NCAA,,48,202,171,26,41,7,1,0,22,4,1,16,19,0.24,0.313,0.292,0.605,50,,4,7,4,0
Jared Barnes,2016,20,-0.7,South Alabama,SBC,NCAA,,60,237,195,36,57,14,1,6,34,1,1,29,41,0.292,0.39,0.467,0.856,91,,4,6,3,0
Jared Barnes,2017,21,0.1,South Alabama,SBC,NCAA,,51,213,172,38,55,10,0,13,50,2,3,27,33,0.32,0.416,0.605,1.021,104,,5,4,5,0
Corey Julks,2015,19,-1.6,Houston,Amer,NCAA,,53,207,179,22,54,11,2,5,38,3,2,21,31,0.302,0.384,0.469,0.854,84,,3,4,0,0
Corey Julks,2016,20,-0.6,Houston,Amer,NCAA,,55,227,196,34,65,10,1,3,28,10,2,25,34,0.332,0.409,0.439,0.848,86,,2,2,2,0
Corey Julks,2017,21,0.3,Houston,Amer,NCAA,,59,256,215,38,72,12,6,9,45,15,5,35,35,0.335,0.426,0.572,0.998,123,,2,0,4,1
Billy Cooke,2015,19,-1.8,Coastal Carolina,BigS,NCAA,,25,35,27,4,4,1,0,0,1,3,1,5,6,0.148,0.303,0.185,0.488,5,,1,2,0,0
