Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,,,,,,
Tate Matheny,2014,20,-0.8,Missouri State,MVC,NCAA,,54,253,218,42,72,9,2,10,37,7,4,25,19,0.33,0.421,0.528,0.948,115,,9,1,0,1,,,,,,
Tate Matheny,2015,21,0.2,Missouri State,MVC,NCAA,,61,296,234,45,68,18,2,5,43,12,2,37,37,0.291,0.417,0.449,0.866,105,,18,1,6,6,,,,,,
Kyle Martin,2011,20,,Texas A&M,B12,NCAA,,,,,3.53,3.95,,0,,,0,,43.1,38,19,17,,13,,38,,,,,1.177,7.9,,2.7,7.9,2.92
Kyle Martin,2012,21,0.6,Texas A&M,B12,NCAA,,6,5,0.545,3.2,4.15,38,0,,,0,7,56.1,57,26,20,2,21,5,52,5,0,4,253,1.385,9.1,0.3,3.4,8.3,2.48
Kyle Martin,2013,22,1.5,Texas A&M,SEC,NCAA,,3,4,0.429,4.97,6.21,19,7,,,0,0,58,74,40,32,3,15,0,41,10,3,4,271,1.534,11.5,0.5,2.3,6.4,2.73
Carl Wise,2013,19,-1.5,College of Charleston,SoCo,NCAA,,51,171,137,32,44,7,1,10,30,3,0,23,25,0.321,0.453,0.606,1.059,83,,10,1,0,1,,,,,,
Carl Wise,2014,20,-0.8,College of Charleston,CAA,NCAA,,63,281,227,24,67,11,4,3,54,2,4,32,37,0.295,0.395,0.419,0.814,95,,12,0,10,4,,,,,,
Carl Wise,2015,21,0.3,College of Charleston,CAA,NCAA,,60,284,246,64,77,18,3,12,70,3,0,27,38,0.313,0.38,0.557,0.937,137,,4,0,7,3,,,,,,
Jeff Hendrix,2013,19,-1.4,Oregon State,P12,NCAA,,32,29,27,4,7,0,0,0,3,4,0,1,10,0.259,0.31,0.259,0.57,7,,1,0,0,0,,,,,,
Jeff Hendrix,2014,20,-0.5,Oregon State,P12,NCAA,,46,206,171,42,60,11,5,2,32,4,1,19,35,0.351,0.447,0.509,0.955,87,,13,0,3,1,,,,,,
Jeff Hendrix,2015,21,0.5,Oregon State,P12,NCAA,,58,274,221,45,75,15,5,6,34,5,1,38,39,0.339,0.446,0.534,0.98,118,,6,7,2,4,,,,,,
Tyler Krieger,2013,19,-1.5,Clemson,ACC,NCAA,,62,258,218,28,56,10,1,0,27,9,5,28,30,0.257,0.349,0.312,0.661,68,,4,6,2,2,,,,,,
Tyler Krieger,2014,20,-0.5,Clemson,ACC,NCAA,,57,255,219,49,74,18,0,2,32,19,4,25,24,0.338,0.41,0.447,0.857,98,,3,6,2,1,,,,,,
Tyler Krieger,2015,21,0.5,Clemson,ACC,NCAA,,61,290,236,45,80,14,1,1,41,14,4,41,45,0.339,0.448,0.419,0.867,99,,7,4,2,6,,,,,,
Skye Bolt,2013,19,-1.5,North Carolina,ACC,NCAA,,54,260,212,48,68,14,2,6,51,10,3,32,28,0.321,0.418,0.491,0.909,104,,7,4,5,1,,,,,,
Skye Bolt,2014,20,-0.5,North Carolina,ACC,NCAA,,61,271,218,40,56,9,0,4,32,11,1,38,30,0.257,0.373,0.353,0.726,77,,6,3,6,3,,,,,,
Skye Bolt,2015,21,0.5,North Carolina,ACC,NCAA,,56,255,205,44,53,9,0,10,45,7,3,40,40,0.259,0.383,0.449,0.832,92,,4,2,4,2,,,,,,
Kade Scivicque,2014,21,0.5,Louisiana State,SEC,NCAA,,56,209,184,32,56,9,0,7,31,0,0,13,19,0.304,0.377,0.467,0.844,86,,9,2,1,0,,,,,,
Kade Scivicque,2015,22,1.5,Louisiana State,SEC,NCAA,,60,256,234,33,83,21,0,6,48,0,0,15,22,0.355,0.398,0.521,0.92,122,,4,0,3,1,,,,,,
Paul DeJong,2013,19,-1.7,Illinois State,MVC,NCAA,,39,132,100,21,26,6,0,0,17,0,0,26,23,0.26,0.42,0.32,0.74,32,,3,1,2,0,,,,,,
Paul DeJong,2014,20,-0.8,Illinois State,MVC,NCAA,,54,250,218,44,76,21,3,9,48,2,3,22,39,0.349,0.43,0.596,1.026,130,,9,1,0,1,,,,,,
Paul DeJong,2015,21,0.2,Illinois State,MVC,NCAA,,51,246,210,47,70,15,0,14,48,2,1,28,50,0.333,0.427,0.605,1.032,127,,7,0,1,3,,,,,,
Brendon Sanger,2013,19,-1.9,Florida Atlantic,SBC,NCAA,,51,208,173,49,60,6,4,3,28,5,2,21,31,0.347,0.436,0.48,0.915,83,,7,6,1,2,,,,,,
Brendon Sanger,2014,20,-0.6,Florida Atlantic,CUSA,NCAA,,53,237,193,36,64,11,2,2,29,6,3,35,22,0.332,0.451,0.44,0.892,85,,8,0,1,1,,,,,,
Brendon Sanger,2015,21,0.1,Florida Atlantic,CUSA,NCAA,,61,295,230,57,85,20,4,7,48,2,0,56,30,0.37,0.492,0.583,1.074,134,,4,0,5,9,,,,,,
Joe McCarthy,2013,19,-1.5,Virginia,ACC,NCAA,,60,289,223,48,75,10,2,4,51,11,1,54,32,0.336,0.469,0.453,0.922,101,,6,1,5,1,,,,,,
Joe McCarthy,2014,20,-0.5,Virginia,ACC,NCAA,,69,313,256,55,77,16,2,6,49,11,1,35,34,0.301,0.417,0.449,0.866,115,,18,1,3,2,,,,,,
Joe McCarthy,2015,21,0.5,Virginia,ACC,NCAA,,33,140,112,19,22,3,0,2,11,3,0,24,20,0.196,0.343,0.277,0.62,31,,2,0,2,2,,,,,,
Blake Allemand,2012,19,-1.9,Texas A&M,B12,NCAA,,50,187,149,16,43,3,2,0,14,4,4,22,21,0.289,0.395,0.336,0.731,50,,5,10,1,0,,,,,,
Blake Allemand,2013,20,-0.4,Texas A&M,SEC,NCAA,,59,259,209,34,54,8,1,1,27,16,9,29,37,0.258,0.375,0.321,0.695,67,,11,8,2,0,,,,,,
Blake Allemand,2014,21,0.5,Texas A&M,SEC,NCAA,,56,257,207,38,60,4,1,0,24,5,5,34,30,0.29,0.397,0.319,0.716,66,,6,5,5,0,,,,,,
Blake Allemand,2015,22,1.5,Texas A&M,SEC,NCAA,,64,307,245,60,83,14,3,7,40,6,1,38,21,0.339,0.43,0.506,0.937,124,,9,5,10,2,,,,,,
Ka'ai Tom,2014,20,-0.5,Kentucky,SEC,NCAA,,54,239,204,40,67,13,0,3,41,14,4,22,18,0.328,0.414,0.436,0.85,89,,9,2,2,0,,,,,,
Ka'ai Tom,2015,21,0.5,Kentucky,SEC,NCAA,,55,254,216,41,81,16,1,5,51,15,1,23,25,0.375,0.443,0.528,0.97,114,,8,1,6,2,,,,,,
Drew Jackson,2013,19,-1.4,Stanford,P12,NCAA,,41,101,82,13,16,2,0,0,4,6,2,15,21,0.195,0.333,0.22,0.553,18,,2,2,0,0,,,,,,
Drew Jackson,2014,20,-0.5,Stanford,P12,NCAA,,39,129,108,14,18,3,1,0,4,1,3,10,27,0.167,0.254,0.213,0.467,23,,3,7,1,0,,,,,,
Drew Jackson,2015,21,0.5,Stanford,P12,NCAA,,40,174,147,27,47,6,2,0,9,6,2,15,22,0.32,0.396,0.388,0.784,57,,5,5,2,0,,,,,,
Ronnie Jebavy,2015,21,0.1,Middle Tennessee State,CUSA,NCAA,,59,268,244,38,88,15,3,7,36,24,4,19,34,0.361,0.408,0.533,0.941,130,,2,1,2,4,,,,,,
Roman Collins,2015,21,0.1,Florida Atlantic,CUSA,NCAA,,61,277,233,46,67,13,5,7,59,4,3,34,39,0.288,0.383,0.476,0.859,111,,5,0,5,2,,,,,,
Cam Gibson,2013,19,-1.6,Michigan State,BTen,NCAA,,43,193,163,34,53,5,3,0,17,12,3,18,14,0.325,0.387,0.393,0.78,64,,1,7,4,0,,,,,,
Cam Gibson,2014,20,-0.7,Michigan State,BTen,NCAA,,57,261,222,35,70,8,4,2,18,16,5,32,31,0.315,0.405,0.414,0.82,92,,3,2,2,0,,,,,,
Cam Gibson,2015,21,0.1,Michigan State,BTen,NCAA,,57,267,231,54,68,10,4,5,32,17,4,30,35,0.294,0.378,0.437,0.816,101,,3,0,3,1,,,,,,
Jared Foster,2012,19,-1.4,Louisiana State,SEC,NCAA,,45,128,110,21,24,5,0,1,13,4,3,10,24,0.218,0.312,0.291,0.603,32,,5,3,0,0,,,,,,
Jared Foster,2013,20,-0.4,Louisiana State,SEC,NCAA,,42,73,64,19,23,2,0,2,12,3,0,4,8,0.359,0.425,0.484,0.909,31,,4,0,1,0,,,,,,
