Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,
Paul DeJong,2018,24,STL,NL,2.9,115,490,436,68,105,25,1,19,68,1,1,36,123,0.241,0.313,0.433,0.746,102,0.331,104,189,6,12,0,5,2,*6/H,,
Paul DeJong,2019,25,STL,NL,5.2,159,664,583,97,136,31,1,30,78,9,5,62,149,0.233,0.318,0.444,0.762,99,0.331,102,259,15,13,0,6,1,*6/H,AS,
Joe McCarthy,2020,26,SFG,NL,-0.4,4,10,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,-123,0,0,0,0,0,0,/79,,
Ka'ai Tom,2021,27,PIT,NL,-0.1,39,117,92,9,14,2,1,2,11,1,0,17,30,0.152,0.308,0.261,0.569,57,0.266,55,24,1,5,0,3,1,7/H,,
Ka'ai Tom,2022,28,SFG,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/9H,,
Drew Jackson,2019,25,BAL,AL,0,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,-23,0.174,-10,0,0,0,0,0,0,/8H7,,
Drew Jackson,2022,28,OAK,AL,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-121,0,0,0,0,0,0,/957H,,
Steven Duggar,2018,24,SFG,NL,0.9,41,152,141,20,36,11,1,2,17,5,1,10,44,0.255,0.303,0.39,0.693,92,0.314,92,55,0,0,0,1,1,8/H,,
Steven Duggar,2019,25,SFG,NL,-0.1,73,281,261,26,61,12,2,4,28,1,4,16,78,0.234,0.278,0.341,0.619,64,0.275,67,89,1,1,0,3,0,89/H,,
Steven Duggar,2020,26,SFG,NL,-0.4,21,36,34,3,6,2,0,0,3,1,0,1,11,0.176,0.222,0.235,0.458,27,0.212,20,8,1,1,0,0,0,7/98H,,
Edwin Rios,2019,25,LAD,NL,0.3,28,56,47,10,13,2,1,4,8,0,0,9,21,0.277,0.393,0.617,1.01,161,0.415,161,29,1,0,0,0,0,H3/57D,,
Edwin Rios,2020,26,LAD,NL,0.6,32,83,76,13,19,6,0,8,17,0,0,4,18,0.25,0.301,0.645,0.946,147,0.394,146,49,2,2,0,1,0,5/H3D,,
Edwin Rios,2021,27,LAD,NL,-0.8,25,60,51,4,4,0,0,1,1,0,0,7,18,0.078,0.217,0.137,0.354,-2,0.182,-7,7,3,2,0,0,0,3H/59D,,
David Fletcher,2018,24,LAA,AL,1.9,80,307,284,35,78,18,2,1,25,3,0,15,34,0.275,0.316,0.363,0.678,88,0.305,86,103,7,3,3,2,0,45/H69,,
David Fletcher,2019,25,LAA,AL,3.7,154,653,596,83,173,30,4,6,49,8,3,55,64,0.29,0.35,0.384,0.734,95,0.326,98,229,8,0,1,1,2,5467/9H,,
David Fletcher,2020,26,LAA,AL,1.9,49,230,207,31,66,13,0,3,18,2,1,20,25,0.319,0.376,0.425,0.801,120,0.352,119,88,4,0,1,2,0,64/59,MVP-17,
Dylan Moore,2019,26,SEA,AL,0.3,113,282,247,31,51,14,2,9,28,11,9,25,93,0.206,0.302,0.389,0.691,87,0.291,85,96,6,9,1,0,0,674H59/3D81,,
Dylan Moore,2020,27,SEA,AL,1.7,38,159,137,26,35,9,0,8,17,12,5,14,43,0.255,0.358,0.496,0.855,138,0.381,144,68,4,8,0,0,0,794/3658H,,
Dylan Moore,2021,28,SEA,AL,0.9,126,377,332,42,60,11,2,12,43,21,5,40,111,0.181,0.276,0.334,0.61,71,0.276,70,111,6,4,0,1,0,47H5/96D,,
Jake Cronenworth,2020,26,SDP,NL,1.6,54,192,172,26,49,15,3,4,20,3,1,18,30,0.285,0.354,0.477,0.831,129,0.367,133,82,4,1,0,1,0,463/H5,ROY-2,
Jake Cronenworth,2021,27,SDP,NL,4.8,152,643,567,94,151,33,7,21,71,4,3,55,90,0.266,0.34,0.46,0.8,122,0.35,124,261,8,10,3,3,6,463/H1,AS,
Jake Cronenworth,2022,28,SDP,NL,3.9,158,684,587,88,140,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,109,0.326,112,229,2,16,0,8,3,*43/6HD,AS,
Nathan Lukes,2023,28,TOR,AL,0,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.29,0.308,0.598,66,0.266,62,8,1,0,0,1,0,9H/D78,,
Nathan Lukes,2024,29,TOR,AL,1.2,22,91,76,13,23,4,2,1,10,1,0,10,9,0.303,0.371,0.447,0.818,131,0.355,130,34,1,0,2,3,0,7/98HD,,
Nathan Lukes,2025,30,TOR,AL,2,135,438,388,55,99,19,2,12,65,2,4,38,60,0.255,0.323,0.407,0.73,100,0.313,97,158,12,2,7,3,2,*978H/D,,
