Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,
Chris Taylor,2014,23,SEA,AL,1.2,47,151,136,16,39,8,0,0,9,5,2,11,39,0.287,0.347,0.346,0.692,102,0.337,116,47,3,2,1,1,0,6/H,,
Chris Taylor,2015,24,SEA,AL,-0.8,37,102,94,9,16,3,1,0,1,3,2,6,31,0.17,0.22,0.223,0.443,26,0.214,24,21,0,0,2,0,0,6/H4D5,,
Chris Taylor,2016,25,LAD,NL,0.1,34,62,58,8,12,2,2,1,7,0,0,4,13,0.207,0.258,0.362,0.62,65,0.276,61,21,3,0,0,0,1,H5/46,,
Austin Nola,2019,29,SEA,AL,1.3,79,267,238,37,64,12,1,10,31,1,0,23,63,0.269,0.342,0.454,0.796,114,0.338,112,108,8,4,1,1,1,34/25H79,,
Austin Nola,2020,30,SEA,AL,0.9,29,110,98,15,30,5,1,5,19,0,0,9,17,0.306,0.373,0.531,0.903,151,0.39,152,52,1,2,0,1,1,2/H35D,,
Austin Nola,2021,31,SDP,NL,0.9,56,194,173,15,47,12,0,2,29,0,1,14,19,0.272,0.34,0.376,0.716,101,0.32,104,65,2,5,0,2,0,2/H43,,
Max Muncy,2015,24,OAK,AL,-0.2,45,112,102,14,21,8,1,3,9,0,0,9,31,0.206,0.268,0.392,0.66,81,0.283,73,40,0,0,0,1,0,35H/D,,
Max Muncy,2016,25,OAK,AL,-0.2,51,133,113,13,21,2,0,2,8,0,0,20,24,0.186,0.308,0.257,0.565,59,0.267,60,29,2,0,0,0,1,49H/7D5,,
Max Muncy,2018,27,LAD,NL,4.3,137,481,395,75,104,17,2,35,79,3,0,79,131,0.263,0.391,0.582,0.973,161,0.416,164,230,4,5,0,2,6,35H4/7D,MVP-15,
Spencer Kieboom,2018,27,WSN,NL,0.4,52,143,125,16,29,5,0,2,13,0,0,16,28,0.232,0.322,0.32,0.642,71,0.305,76,40,2,1,0,1,0,2/H35,,
Rob Refsnyder,2015,24,NYY,AL,0.5,16,47,43,3,13,3,0,2,5,2,0,3,7,0.302,0.348,0.512,0.859,132,0.374,129,22,3,0,0,0,1,4/H,,
Rob Refsnyder,2016,25,NYY,AL,-0.2,58,175,152,25,38,9,0,0,12,2,1,18,30,0.25,0.328,0.309,0.637,73,0.301,78,47,5,1,0,3,2,39/4H75,,
Rob Refsnyder,2017,26,TOR,AL,-0.2,32,58,51,5,10,1,0,0,0,2,1,5,9,0.196,0.281,0.216,0.496,36,0.243,35,11,2,1,0,0,1,4H/D379,,
Joe Hudson,2018,27,LAA,AL,-0.1,8,12,12,0,2,1,0,0,1,0,0,0,0,0.167,0.167,0.25,0.417,13,0.178,-4,3,0,0,0,0,0,/2H,,
Joe Hudson,2019,28,STL,NL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-133,0,0,0,0,0,0,/H,,
Joe Hudson,2020,29,SEA,AL,-0.2,9,20,17,0,3,0,0,0,0,0,0,2,5,0.176,0.263,0.176,0.44,28,0.205,18,3,0,0,1,0,0,/2,,
Eric Stamets,2019,27,CLE,AL,-0.7,15,48,41,4,2,1,0,0,2,0,0,5,24,0.049,0.149,0.073,0.222,-38,0.138,-41,3,2,0,1,1,0,6,,
Jake Lamb,2014,23,ARI,NL,0.4,37,133,126,15,29,4,1,4,11,1,1,6,37,0.23,0.263,0.373,0.636,75,0.286,72,47,4,0,0,1,0,5/H,,
Jake Lamb,2015,24,ARI,NL,2.2,107,390,350,38,92,15,5,6,34,3,2,36,97,0.263,0.331,0.386,0.716,92,0.322,92,135,5,1,0,3,3,5H/3,,
Jake Lamb,2016,25,ARI,NL,2.9,151,594,523,81,130,31,9,29,91,6,1,64,154,0.249,0.332,0.509,0.84,114,0.367,116,266,13,3,0,4,5,*5H,,
Cameron Perkins,2017,26,PHI,NL,-0.8,42,97,88,9,16,5,0,1,8,0,0,5,23,0.182,0.237,0.273,0.51,35,0.251,41,24,1,2,0,2,0,H79/83,,
Preston Tucker,2015,24,HOU,AL,0.5,98,323,300,35,73,19,0,13,33,0,2,20,68,0.243,0.297,0.437,0.734,102,0.324,105,131,3,3,0,0,0,7H9/D,,
Preston Tucker,2016,25,HOU,AL,-1.1,48,144,134,11,22,8,1,4,8,0,0,8,40,0.164,0.222,0.328,0.551,50,0.243,45,44,2,2,0,0,0,D7H/9,,
Preston Tucker,2018,27,ATL,NL,0,80,142,129,15,31,10,0,4,22,0,0,9,34,0.24,0.303,0.411,0.714,90,0.322,93,53,2,3,0,1,0,H7/9,,
Jacob Stallings,2016,26,PIT,NL,0.2,5,15,15,0,6,1,0,0,2,1,0,0,4,0.4,0.4,0.467,0.867,132,0.393,132,7,0,0,0,0,0,/2H,,
Jacob Stallings,2017,27,PIT,NL,0.2,5,16,14,3,5,2,0,0,3,0,0,2,2,0.357,0.438,0.5,0.938,149,0.444,186,7,0,0,0,0,1,/2,,
Jacob Stallings,2018,28,PIT,NL,0,14,41,37,2,8,0,0,0,5,0,0,3,9,0.216,0.268,0.216,0.485,36,0.248,44,8,2,0,0,1,0,2/H,,
Tyler Heineman,2019,28,MIA,NL,0.1,5,12,11,1,3,1,0,1,2,0,0,0,4,0.273,0.273,0.636,0.909,129,0.369,131,7,0,0,1,0,0,/H2,,
Tyler Heineman,2020,29,SFG,NL,0.1,15,50,42,3,8,1,0,0,1,1,0,4,6,0.19,0.292,0.214,0.506,44,0.249,44,9,0,2,2,0,0,2/1,,
Tyler Heineman,2022,31,PIT,NL,0.1,52,158,142,14,30,6,0,0,8,1,0,8,13,0.211,0.277,0.254,0.531,53,0.245,47,36,2,5,3,0,0,2/H,,
Seth Mejias-Brean,2019,28,SDP,NL,0.4,14,33,30,3,7,2,0,2,5,0,0,3,9,0.233,0.303,0.5,0.803,109,0.336,107,15,1,0,0,0,0,/H365,,
Luke Maile,2015,24,TBR,AL,-0.2,15,35,35,2,6,3,0,0,2,0,0,0,8,0.171,0.171,0.257,0.429,18,0.184,0,9,3,0,0,0,0,2/H,,
Luke Maile,2016,25,TBR,AL,0.4,42,126,119,10,27,7,0,3,15,0,0,4,36,0.227,0.252,0.361,0.613,67,0.258,53,43,2,0,3,0,1,2/3DH,,
Luke Maile,2017,26,TOR,AL,-0.1,46,136,130,10,19,5,0,2,7,1,0,3,35,0.146,0.176,0.231,0.407,8,0.205,8,30,2,2,0,1,0,2/H,,
Joey Rickard,2016,25,BAL,AL,-0.3,85,282,257,32,69,13,0,5,19,4,1,18,54,0.268,0.319,0.377,0.696,87,0.313,86,97,3,2,3,2,0,978H,,
Joey Rickard,2017,26,BAL,AL,0.9,111,277,261,29,63,15,0,4,19,8,1,9,63,0.241,0.276,0.345,0.621,68,0.285,67,90,6,4,2,1,0,97H8,,
Joey Rickard,2018,27,BAL,AL,0.5,79,230,213,27,52,10,1,8,23,4,2,15,55,0.244,0.3,0.413,0.713,95,0.306,89,88,3,2,0,0,0,97/8H,,
Trevor Brown,2015,23,SFG,NL,-0.2,13,43,39,1,9,3,0,0,5,1,1,3,8,0.231,0.279,0.308,0.587,62,0.252,49,12,0,0,0,1,0,2,,
