Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Adam Haseley,2021,25,PHI,NL,-0.3,9,21,21,2,4,1,0,0,0,0,0,0,4,0.19,0.19,0.238,0.429,16,0.178,-6,5,0,0,0,0,0,/87H,,,
Keston Hiura,2019,22,MIL,NL,1.8,84,348,314,51,95,23,2,19,49,9,3,25,107,0.303,0.368,0.57,0.938,138,0.391,138,179,6,8,0,1,1,4/H,,,
Keston Hiura,2020,23,MIL,NL,-0.3,59,246,217,30,46,4,0,13,32,3,2,16,85,0.212,0.297,0.41,0.707,87,0.311,86,89,7,11,0,2,2,*4D,,,
Keston Hiura,2021,24,MIL,NL,-0.9,61,197,173,16,29,9,1,4,19,3,0,14,77,0.168,0.256,0.301,0.557,51,0.255,45,52,6,7,2,1,0,3H/47,,,
Jake Burger,2021,25,CHW,AL,0.4,15,42,38,5,10,3,1,1,3,0,0,4,15,0.263,0.333,0.474,0.807,117,0.404,157,18,2,0,0,0,0,/5DH,,,
Jake Burger,2022,26,CHW,AL,0,51,183,168,20,42,9,1,8,26,0,0,10,56,0.25,0.302,0.458,0.761,113,0.323,105,77,7,3,1,1,1,5/DH4,,,
Jake Burger,2023,27,2TM,2LG,2.5,141,540,492,71,123,28,1,34,80,1,1,32,149,0.25,0.309,0.518,0.828,119,0.354,121,255,4,12,0,4,0,5D/H34,,,
Evan White,2020,24,SEA,AL,-0.1,54,202,182,19,32,7,0,8,26,1,2,18,84,0.176,0.252,0.346,0.599,66,0.26,63,63,3,1,0,1,0,*3/H,GG,,
Evan White,2021,25,SEA,AL,-0.6,30,104,97,8,14,3,0,2,9,0,0,6,31,0.144,0.202,0.237,0.439,23,0.198,19,23,1,1,0,0,0,3,,,
Stuart Fairchild,2021,25,ARI,NL,0,12,17,15,3,2,1,0,0,2,0,0,1,3,0.133,0.235,0.2,0.435,20,0.21,17,3,1,1,0,0,0,/H879,,,
